times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

053.570  000.021  000.021: sourcing /usr/share/vim/vimfiles/ftdetect/espeakfiletype.vim
053.596  000.017  000.017: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
054.037  007.336  006.476: sourcing /usr/share/nvim/runtime/filetype.vim
054.256  000.024  000.024: sourcing /usr/share/nvim/runtime/ftplugin.vim
054.464  000.020  000.020: sourcing /usr/share/nvim/runtime/indent.vim
054.753  000.059  000.059: sourcing /usr/share/nvim/runtime/syntax/synload.vim
054.823  000.308  000.249: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
055.495  000.011  000.011: sourcing /home/chris/.local/share/nvim/site/pack/packer/opt/vim-dirvish/plugin/dirvish.vim
055.844  000.196  000.196: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
055.862  000.007  000.007: sourcing /usr/share/nvim/runtime/plugin/health.vim
055.926  000.056  000.056: sourcing /usr/share/nvim/runtime/plugin/man.vim
056.249  000.154  000.154: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
056.310  000.376  000.223: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
056.429  000.109  000.109: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
056.753  000.315  000.315: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
058.344  000.140  000.140: sourcing /usr/share/nvim/runtime/autoload/remote/host.vim
058.721  000.111  000.111: sourcing /usr/share/nvim/runtime/autoload/remote/define.vim
059.476  002.604  002.354: sourcing /home/chris/.local/share/nvim/rplugin.vim
059.480  002.702  000.098: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
059.574  000.076  000.076: sourcing /usr/share/nvim/runtime/plugin/shada.vim
059.605  000.017  000.017: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
059.728  000.113  000.113: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
059.813  000.068  000.068: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
059.839  000.013  000.013: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
059.994  000.144  000.144: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
060.579  000.534  000.534: sourcing /usr/share/nvim/runtime/pack/dist/opt/termdebug/plugin/termdebug.vim
061.109  000.454  000.454: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
061.219  000.076  000.076: sourcing /usr/share/vim/vimfiles/plugin/redact_pass.vim
061.643  000.408  000.408: sourcing /usr/share/vim/vimfiles/plugin/skim.vim
072.408  001.580  001.580: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/sourcery/colors/sourcery.vim
073.837  012.142  010.562: sourcing /home/chris/.config/nvim/plugin/packer_compiled.lua
074.041  001.990: loading rtp plugins
074.415  000.019  000.019: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/BetterLua.vim/plugin/BetterLua.vim
074.590  000.047  000.047: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/harpoon/plugin/mark.vim
074.827  000.142  000.142: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/plugin/mkdp.vim
074.993  000.071  000.071: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/my_vim_utils/plugin/auto_save_view.vim
075.027  000.020  000.020: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/my_vim_utils/plugin/clear_whitespace.vim
075.059  000.019  000.019: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/my_vim_utils/plugin/ctags_utils.vim
075.308  000.167  000.167: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nlua.nvim/plugin/nlua.vim
076.003  000.579  000.579: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
076.083  000.024  000.024: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
076.204  000.055  000.055: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
076.328  000.036  000.036: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-luapad/plugin/luapad.vim
076.952  000.559  000.559: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
077.864  000.829  000.829: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
077.969  000.027  000.027: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
078.046  000.011  000.011: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/orgmode.nvim/plugin/orgmode.vim
078.278  000.136  000.136: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/playground/plugin/nvim-treesitter-playground.vim
078.377  000.024  000.024: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
078.540  000.043  000.043: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/rust.vim/plugin/cargo.vim
078.581  000.027  000.027: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/rust.vim/plugin/rust.vim
078.789  000.121  000.121: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
078.989  000.118  000.118: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/undotree/plugin/undotree.vim
079.537  000.481  000.481: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-abolish/plugin/abolish.vim
079.743  000.116  000.116: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-commentary/plugin/commentary.vim
079.941  000.113  000.113: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
080.228  000.216  000.216: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-endwise/plugin/endwise.vim
081.247  000.945  000.945: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
081.546  000.141  000.141: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-rsi/plugin/rsi.vim
081.909  000.294  000.294: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
087.520  005.514  005.514: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-unimpaired/plugin/unimpaired.vim
088.245  000.624  000.624: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
